timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1773878093780,44,HTTP Request,200,OK,Stress Test 1-24,text,true,,197,121,3,3,http://54.159.81.233:8080/match,44,0,23
1773878093799,44,HTTP Request,200,OK,Stress Test 1-25,text,true,,197,121,3,3,http://54.159.81.233:8080/match,44,0,22
1773878093819,44,HTTP Request,200,OK,Stress Test 1-26,text,true,,197,121,3,3,http://54.159.81.233:8080/match,44,0,22
1773878093839,43,HTTP Request,200,OK,Stress Test 1-27,text,true,,197,121,3,3,http://54.159.81.233:8080/match,43,0,21
1773878093860,43,HTTP Request,200,OK,Stress Test 1-28,text,true,,197,121,3,3,http://54.159.81.233:8080/match,43,0,21
1773878093880,47,HTTP Request,200,OK,Stress Test 1-29,text,true,,197,121,3,3,http://54.159.81.233:8080/match,47,0,22
1773878093900,48,HTTP Request,200,OK,Stress Test 1-30,text,true,,197,121,3,3,http://54.159.81.233:8080/match,48,0,22
1773878093920,44,HTTP Request,200,OK,Stress Test 1-31,text,true,,197,121,3,3,http://54.159.81.233:8080/match,44,0,22
1773878093938,45,HTTP Request,200,OK,Stress Test 1-32,text,true,,197,121,3,3,http://54.159.81.233:8080/match,45,0,22
1773878093959,44,HTTP Request,200,OK,Stress Test 1-33,text,true,,197,121,3,3,http://54.159.81.233:8080/match,44,0,22
1773878093979,43,HTTP Request,200,OK,Stress Test 1-34,text,true,,197,121,3,3,http://54.159.81.233:8080/match,43,0,21
1773878093999,44,HTTP Request,200,OK,Stress Test 1-35,text,true,,197,121,3,3,http://54.159.81.233:8080/match,44,0,22
